skill_code,skill_name,form,topic_code,topic_name,strand,objective_type,content_basis,concept_tags,dkt_trackable,active
CS.F3.DATA.STORAGE_UNITS_EXPLAIN,Explain units of storage,3,8.25,Data Representation,DATA,knowledge,"Units of storage: bit,nibble,byte,kilobyte,megabyte,terabyte","storage_units,bit,byte,capacity",1,1
CS.F3.DATA.CONVERT_DENARY_TO_OCTAL,Convert denary numbers to octal,3,8.25,Data Representation,DATA,procedural,"Number bases: octal","number_bases,octal,conversion",1,1
CS.F3.DATA.CONVERT_DENARY_TO_HEX,Convert denary numbers to hexadecimal,3,8.25,Data Representation,DATA,procedural,"Number bases: hexadecimal","number_bases,hexadecimal,conversion",1,1
CS.F3.DATA.CONVERT_OCTAL_TO_DENARY,Convert octal numbers to denary,3,8.25,Data Representation,DATA,procedural,"Number bases: octal","number_bases,octal,conversion",1,1
CS.F3.DATA.CONVERT_HEX_TO_DENARY,Convert hexadecimal numbers to denary,3,8.25,Data Representation,DATA,procedural,"Number bases: hexadecimal","number_bases,hexadecimal,conversion",1,1
CS.F3.HW.IDENTIFY_HW_DEVICE_APPLICATIONS,Identify applications of hardware devices,3,8.23,Hardware and Software,HW,knowledge,"Hardware devices and applications (POS,ATM,data capture)","hardware_devices,applications,pos,atm",1,1
CS.F3.HW.COMPARE_OPERATING_SYSTEMS,Compare different operating systems,3,8.23,Hardware and Software,HW,analysis,"PC and mobile operating systems","operating_systems,comparison,pc,mobile",1,1
CS.F3.HW.EXPLAIN_OS_FUNCTIONS,Explain functions of an operating system,3,8.23,Hardware and Software,HW,knowledge,"Operating system functions","operating_systems,system_functions",1,1
CS.F3.APP.DESCRIBE_APPLICATION_AREAS,Describe areas of computer applications,3,8.24,Application of Computer Science,APP,knowledge,"Application areas: agriculture,manufacturing,intelligent systems,wildlife,mining","application_domains,industry_use_cases",1,1
CS.F3.SEC.APPLY_DATA_PRIVACY_MEASURES,Apply data privacy measures,3,8.27,Security and Ethics,SEC,procedural,"Privacy and data integrity","privacy,data_protection",1,1
CS.F3.SEC.VERIFY_DATA,Verify data during capture,3,8.27,Security and Ethics,SEC,procedural,"Data integrity: verification","data_integrity,verification",1,1
CS.F3.SEC.VALIDATE_DATA,Validate data during capture,3,8.27,Security and Ethics,SEC,procedural,"Data integrity: validation","data_integrity,validation,format_check,checksum",1,1
CS.F3.SEC.SETUP_FIREWALL,Set up a firewall,3,8.27,Security and Ethics,SEC,procedural,"System security","firewall,system_security",1,1
CS.F3.SEC.APPLY_NETWORK_SECURITY,Apply network security measures,3,8.27,Security and Ethics,SEC,procedural,"System security","network_security,proxy,certificate,digital_signature",1,1
CS.F3.SEC.IDENTIFY_ONLINE_CRIMES,Identify online crimes,3,8.27,Security and Ethics,SEC,knowledge,"Cybercrime: spoofing,sniffing,fraud,hacking","cybercrime,spoofing,sniffing,fraud,hacking",1,1
CS.F3.NET.IDENTIFY_MOBILE_TECH_TYPES,Identify types of mobile technologies,3,8.26,Communication Networks and Internet Technologies,NET,knowledge,"Mobile technologies","mobile_tech,phones,tablets,pda,satellite",1,1
CS.F3.NET.DESCRIBE_MOBILE_TECH_ROLE,Describe role of mobile technologies in communication,3,8.26,Communication Networks and Internet Technologies,NET,knowledge,"Mobile technologies in communication","mobile_communication,use_cases",1,1
CS.F3.NET.EXPLAIN_WIRELESS_TECH_APPLICATIONS,Explain applications of wireless technologies,3,8.26,Communication Networks and Internet Technologies,NET,knowledge,"Wireless technologies: WiFi,WiMax,Bluetooth,Infrared,Microwave,Radio","wireless,wifi,wimax,bluetooth,infrared,microwave,radio",1,1
CS.F3.NET.EXPLAIN_CLOUD_SERVICES,Explain cloud computing services concept,3,8.26,Communication Networks and Internet Technologies,NET,knowledge,"Cloud services","cloud_services,upload_download",1,1
CS.F3.SAD.DESCRIBE_ANALYSIS_STAGE,Describe activities in the analysis stage,3,8.28,Systems Analysis and Design,SAD,knowledge,"Systems analysis: alternatives,DFD,activity diagram","systems_analysis,dfd,activity_diagram",1,1
CS.F3.SAD.APPLY_SYSTEM_ANALYSIS,Apply system analysis to projects,3,8.28,Systems Analysis and Design,SAD,procedural,"Systems analysis application","requirements_analysis,project_analysis",1,1
CS.F3.SAD.DESCRIBE_DESIGN_STAGE,Describe activities in the design stage,3,8.28,Systems Analysis and Design,SAD,knowledge,"Systems design activities","systems_design,input_output_design,ui_design",1,1
CS.F3.SAD.DESIGN_INPUT_OUTPUT_UI,Design input output and user interface,3,8.28,Systems Analysis and Design,SAD,procedural,"Input/output and user interface design","input_design,output_design,ui_design",1,1
CS.F3.SAD.DESIGN_FILE_STRUCTURES_TABLES,Design file structures and tables,3,8.28,Systems Analysis and Design,SAD,procedural,"Database/file design","file_design,table_design,data_modeling",1,1
CS.F3.SAD.CONSTRUCT_SYSTEM_FLOWCHARTS_PSEUDOCODE,Construct system flowcharts and pseudocode,3,8.28,Systems Analysis and Design,SAD,procedural,"System flow charts and algorithm design","system_flowchart,pseudocode",1,1
CS.F3.SAD.EXPLAIN_DEV_TEST_STAGE,Explain development and testing stage activities,3,8.28,Systems Analysis and Design,SAD,knowledge,"Development and testing (coding/testing)","development_lifecycle,testing",1,1
CS.F3.ALG.DESIGN_FLOWCHARTS,Design flowcharts for algorithms,3,8.29,Algorithm Design and Problem Solving,ALG,procedural,"Algorithm tools: flowchart","algorithm_tools,flowchart",1,1
CS.F3.ALG.CONSTRUCT_PSEUDOCODE,Construct pseudocode,3,8.29,Algorithm Design and Problem Solving,ALG,procedural,"Algorithm tools: pseudocode","algorithm_tools,pseudocode",1,1
CS.F3.ALG.APPLY_TOP_DOWN,Apply top down decomposition,3,8.29,Algorithm Design and Problem Solving,ALG,procedural,"Top down and bottom up design","decomposition,top_down",1,1
CS.F3.ALG.USE_TRACE_TABLES,Use trace tables to dry run algorithms,3,8.29,Algorithm Design and Problem Solving,ALG,procedural,"Interpreting and testing algorithms","trace_table,dry_run",1,1
CS.F3.ALG.DEBUG_ALGORITHMS,Correct errors in algorithms,3,8.29,Algorithm Design and Problem Solving,ALG,procedural,"Interpreting and testing algorithms","debugging,algorithm_errors",1,1
CS.F3.PROG.CREATE_USER_INTERFACES,Create user interfaces,3,8.30,Programming,PROG,procedural,"Interface design","ui_design,menus,submenus",1,1
CS.F3.PROG.DECLARE_FUNCTIONS,Declare and use functions in programs,3,8.30,Programming,PROG,procedural,"Visual programming functions","functions,procedures",1,1
CS.F3.PROG.USE_OBJECTS_IN_UI,Use objects in interface design,3,8.30,Programming,PROG,procedural,"Visual programming objects","objects,event_driven",1,1
CS.F3.PROG.TEST_DEBUG_PROGRAMS,Test and debug programs,3,8.30,Programming,PROG,procedural,"Testing and debugging","testing,debugging",1,1
CS.F3.PROG.IDENTIFY_ERROR_TYPES,Identify types of programming errors,3,8.30,Programming,PROG,knowledge,"Errors","syntax_error,logic_error,runtime_error",1,1
